피드백ID,고객ID,등록일,내용,평가점수,유형
FB000001,CUST002173,2023-09-20,다시 이용하고 싶습니다,5,칭찬
FB000002,CUST003846,2023-11-24,상담원이 친절했습니다,5,불만
FB000003,CUST000431,2024-08-25,상담원이 친절했습니다,1,불만
FB000004,CUST003011,2024-08-02,앱이 사용하기 편해요,5,칭찬
FB000005,CUST000086,2023-05-26,청구서가 늦게 와요,4,칭찬
FB000006,CUST000566,2023-01-20,앱이 사용하기 편해요,5,불만
FB000007,CUST002747,2023-04-08,다시 이용하고 싶습니다,3,건의
FB000008,CUST004305,2024-02-16,기술자가 전문적이었습니다,5,불만
FB000009,CUST000973,2024-03-10,고객지원이 부족합니다,3,건의
FB000010,CUST003644,2023-09-13,상담원이 친절했습니다,4,건의
FB000011,CUST004317,2023-07-30,불만이 많습니다,5,칭찬
FB000012,CUST000014,2024-06-15,만족합니다,3,칭찬
FB000013,CUST004232,2023-05-25,신청 처리가 빨라요,5,불만
FB000014,CUST004600,2023-05-12,기술자가 전문적이었습니다,4,불만
FB000015,CUST000868,2023-05-19,개선이 필요합니다,5,건의
FB000016,CUST001895,2023-05-20,고객지원이 부족합니다,5,건의
FB000017,CUST003532,2023-10-12,만족합니다,4,불만
FB000018,CUST001258,2023-02-08,가격이 합리적입니다,2,건의
FB000019,CUST000003,2023-02-02,가격이 합리적입니다,5,칭찬
FB000020,CUST001002,2023-11-24,공급이 안정적이네요,5,불만
FB000021,CUST003703,2023-08-26,청구서가 늦게 와요,5,건의
FB000022,CUST003999,2024-08-24,계약 과정이 복잡해요,5,칭찬
FB000023,CUST001433,2023-05-14,신청 처리가 빨라요,3,건의
FB000024,CUST004186,2023-07-08,기술자가 전문적이었습니다,2,불만
FB000025,CUST004658,2024-11-11,공급이 안정적이네요,5,불만
FB000026,CUST003303,2023-06-30,서비스가 좋습니다,4,건의
FB000027,CUST000340,2023-02-18,요금이 비싼 편입니다,4,불만
FB000028,CUST003698,2024-01-17,요금이 비싼 편입니다,4,불만
FB000029,CUST004784,2024-01-22,공급이 안정적이네요,4,건의
FB000030,CUST002020,2023-05-24,가격이 합리적입니다,4,건의
FB000031,CUST001370,2024-11-01,다시 이용하고 싶습니다,4,건의
FB000032,CUST000059,2023-01-29,고객지원이 부족합니다,4,불만
FB000033,CUST001303,2023-04-08,청구서가 늦게 와요,5,칭찬
FB000034,CUST001434,2024-11-10,신청 처리가 빨라요,5,칭찬
FB000035,CUST000785,2024-09-20,신청 처리가 빨라요,4,불만
FB000036,CUST001865,2023-02-17,요금이 비싼 편입니다,4,불만
FB000037,CUST000255,2023-03-19,가격이 합리적입니다,5,칭찬
FB000038,CUST004800,2023-04-27,상담원이 친절했습니다,3,건의
FB000039,CUST004179,2023-08-01,기술자가 전문적이었습니다,1,불만
FB000040,CUST004517,2023-09-20,요금이 비싼 편입니다,4,칭찬
FB000041,CUST000757,2024-07-01,서비스가 좋습니다,4,칭찬
FB000042,CUST000139,2023-11-11,다시 이용하고 싶습니다,4,건의
FB000043,CUST004656,2023-08-03,신청 처리가 빨라요,3,칭찬
FB000044,CUST003695,2023-08-17,개선이 필요합니다,5,건의
